,Date,Features,0,Region
597,Apr 2013,Two_storey,474000,Ontario
598,Apr 2013,Townhouse,280400,Ontario
599,Apr 2013,Apartment,279400,Ontario
600,May 2013,Composite,398200,Ontario
601,May 2013,Single_family,433200,Ontario
602,May 2013,One_storey,341900,Ontario
603,May 2013,Two_storey,475600,Ontario
604,May 2013,Townhouse,282500,Ontario
605,May 2013,Apartment,280900,Ontario
606,Jun 2013,Composite,399300,Ontario
607,Jun 2013,Single_family,434600,Ontario
608,Jun 2013,One_storey,343400,Ontario
609,Jun 2013,Two_storey,476900,Ontario
610,Jun 2013,Townhouse,283700,Ontario
611,Jun 2013,Apartment,280300,Ontario
612,Jul 2013,Composite,401400,Ontario
613,Jul 2013,Single_family,437300,Ontario
614,Jul 2013,One_storey,345200,Ontario
615,Jul 2013,Two_storey,479800,Ontario
616,Jul 2013,Townhouse,283800,Ontario
617,Jul 2013,Apartment,280300,Ontario
618,Aug 2013,Composite,403700,Ontario
619,Aug 2013,Single_family,440000,Ontario
620,Aug 2013,One_storey,346400,Ontario
621,Aug 2013,Two_storey,483200,Ontario
622,Aug 2013,Townhouse,283300,Ontario
623,Aug 2013,Apartment,281400,Ontario
624,Sep 2013,Composite,406300,Ontario
625,Sep 2013,Single_family,443000,Ontario
626,Sep 2013,One_storey,349800,Ontario
627,Sep 2013,Two_storey,486100,Ontario
628,Sep 2013,Townhouse,286200,Ontario
629,Sep 2013,Apartment,282000,Ontario
630,Oct 2013,Composite,409700,Ontario
631,Oct 2013,Single_family,446700,Ontario
632,Oct 2013,One_storey,352400,Ontario
633,Oct 2013,Two_storey,490500,Ontario
